participant,condition,subject,channel,peaks,drops_at
infant,chair,19,ch_0,"[217, 442, 666, 888, 1112, 1337, 1569, 1800, 2030, 2259, 2490, 2720, 2952, 3184, 3409, 3637, 3869, 4101, 4328, 4550, 4772, 4994, 5217, 5445, 5670, 5893, 6114, 6341, 6560, 6777, 6993, 7206, 7417, 7628, 7837, 8048, 8256, 8465, 8681, 8893, 9105, 9321, 9532, 9741, 9952, 10124, 10392, 10609, 10834, 11062, 11290, 11521, 11756, 11985, 12216, 12442, 12673, 12908, 13141, 13373, 13606, 13834, 14064, 14282, 14717, 14929, 15141, 15350, 15568, 15784, 16004, 16216, 16428, 14501, 16640, 16850, 17066, 17285, 17504, 17724, 17944, 18168, 18608, 18829, 19053, 19276, 19497, 19717, 19945, 20168, 20384, 20604, 20817, 21029, 21241, 21453, 21664, 21876, 18389, 22092, 22304, 22514, 22728, 22941, 23168, 23381, 23594, 23804, 24015, 24225, 24433, 24641, 24848, 25053, 25257, 25461, 25664, 25873, 26088, 26309, 26529, 26744, 26961, 27174, 27388, 27604, 27817, 28030, 28245, 28465, 28680, 28892, 29101, 29313, 29532, 29748, 29964, 30187, 30405, 30629, 30858]","16428 → 14501, 21876 → 18389"
infant,chair,51,ch_0,"[189, 400, 618, 827, 1038, 1249, 1450, 1657, 1855, 2053, 2253, 2455, 2660, 2870, 3089, 3305, 3529, 3755, 3988, 4222, 4455, 4689, 4924, 5158, 5390, 5621, 5846, 6075, 6304, 6529, 6759, 7630, 7845, 8089, 8315, 8537, 8758, 8976, 9195, 9407, 9615, 9821, 10023, 10222, 10614, 10815, 11012, 11214, 11424, 11642, 11861, 12081, 12304, 12533, 12759, 12991, 13224, 13458, 13689, 13915, 14137, 14362, 14587, 14808, 15031, 15249, 15466, 15674, 16284, 16485, 16691, 16900, 17107, 17310, 17518, 17726, 17929, 18329, 18128, 18526, 18722, 18910, 19105, 19294, 19482, 19671, 19864, 20053, 20243, 20446, 21264, 20850, 21053, 20653, 21472, 21670, 21873, 22071, 22272, 22468, 22667, 22861, 23054, 23246, 23438, 23629, 23817, 24006, 24401, 24205, 24787, 24599, 25165, 25354, 25542, 24975, 25910, 26094, 26275, 26467, 26666, 26862, 27062, 27264, 27461, 27662, 27861, 28067, 28262, 28458, 28661, 28858, 29081, 29283, 30094, 30311, 30509, 30705, 30903]","18329 → 18128, 21264 → 20850, 21053 → 20653, 24401 → 24205, 24787 → 24599, 25542 → 24975"
infant,chair,66,ch_0,"[-220, 164, 379, 582, 787, 1005, 1232, 1464, 1682, 1911, 2123, 2329, 2530, 2726, 2930, 3128, 3322, 3521, 3723, 3917, 4114, 4306, 4499, 4691, 4878, 5063, 5252, 5442, 5627, 5810, 5994, 6178, 6363, 6555, 6738, 6912, 7107, 7302, 7488, 7675, 7862, 8058, 8263, 8467, 8670, 8869, 9065, 9260, 9454, 9644, 9834, 10022, 10210, 10402, 10593, 10781, 10972, 11166, 11374, 11586, 11802, 12010, 12226, 12445, 12665, 12883, 13098, 13312, 13532, 13750, 13971, 14193, 14412, 14635, 14847, 15062, 15284, 15510, 15734, 15965, 16191, 16407, 16629, 16848, 17057, 17270, 17471, 17670, 17866, 18060, 18252, 18443, 18633, 18828, 19018, 19208, 19407, 19602, 19802, 19993, 20206, 20405, 20605, 20806, 21011, 21218, 21416, 21621, 21819, 22036, 22257, 22491, 22702, 22908, 23125, 23363, 23578, 23793, 24007, 24225, 24442, 24646, 24844, 25059, 25262, 25466, 25671, 25875, 26080, 26277, 26469, 26677, 26865, 27059, 27251, 27441, 27631, 27819, 28019, 28223, 28434, 28642, 28855, 29057, 29456, 29655, 29266, 29853, 30047, 30240, 30432, 30622]",29655 → 29266
infant,chair,68,ch_2,"[48, 260, 468, 680, 892, 1104, 1316, 1528, 1744, 1956, 2172, 2388, 2604, 2820, 3032, 3244, 3456, 3676, 3896, 4120, 4344, 4573, 4804, 5032, 5256, 5480, 5700, 5916, 6128, 6336, 6544, 6752, 6960, 7164, 7364, 7568, 7768, 7968, 8171, 8372, 8573, 8779, 8980, 9188, 9400, 9616, 9836, 10056, 10276, 10496, 10712, 10932, 11152, 11376, 11600, 11824, 12048, 12276, 12504, 12732, 12964, 13200, 13436, 13669, 13896, 14124, 14352, 14580, 14800, 15024, 15247, 15472, 15691, 15908, 16124, 16340, 16552, 16760, 16968, 17172, 17376, 17580, 17784, 18192, 18392, 18596, 18796, 18996, 19196, 19399, 19607, 19812, 20016, 20223, 20427, 20637, 20851, 17988, 21068, 21292, 21512, 21731, 21940, 22149, 22356, 22560, 22760, 22956, 23153, 23348, 23548, 23744, 23940, 24136, 24332, 24528, 24724, 24921, 25120, 25316, 25512, 25709, 25904, 26100, 26300, 26500, 26699, 26900, 27096, 27296, 27496, 27696, 27889, 28092, 28288, 28487, 28679, 28873, 29068, 29260, 29452, 29644, 29833, 30023, 30211, 30400, 30592]",20851 → 17988
infant,chair,10,ch_2,"[179, 379, 584, 796, 1007, 1224, 1444, 1659, 1875, 2088, 2300, 2519, 2735, 2947, 3148, 3352, 3556, 3752, 3944, 4136, 4328, 4519, 4710, 4907, 5112, 5311, 5507, 5707, 5907, 6107, 6304, 6499, 6696, 6895, 7088, 7292, 7699, 7699, 7492, 7908, 8115, 8319, 8523, 8727, 8935, 9131, 9324, 9523, 9728, 9939, 10143, 10352, 10563, 10768, 10972, 11180, 11596, 11387, 11807, 12019, 12224, 12431, 12631, 12832, 13228, 13028, 13428, 13628, 13824, 14035, 14246, 14456, 14663, 14872, 15072, 15275, 15476, 15675, 15875, 16072, 16468, 16672, 16875, 16272, 17075, 17288, 17492, 17700, 17903, 18112, 18316, 18532, 18744, 18959, 19176, 19395, 19604, 19812, 20019, 20619, 20811, 21008, 21200, 21392, 21591, 21785, 21984, 22199, 22402, 22600, 22798, 22996, 23196, 23399, 23603, 23804, 24007, 24205, 24404, 24607, 24800, 24991, 25183, 20223, 20420, 25376, 25568, 25764, 25959, 26152, 26348, 26547, 26751, 26948, 27146, 27343, 27540, 27735, 27935, 28135, 28336, 28539, 28744, 28959, 29175, 29387, 29611, 29836, 30056, 30483, 30271, 30700, 30924]","7699 → 7699, 7699 → 7492, 11596 → 11387, 13228 → 13028, 16875 → 16272, 25183 → 20223, 30483 → 30271"
infant,chair,47,ch_1,"[194, 919, 1103, 1482, 1674, 2527, 3175, 4434, 4851, 5063, 5699, 8046, 8264, 8711, 8926, 9138, 9351, 9779, 9999, 10643, 10875, 11558, 11795, 12039, 12727, 13391, 14046, 14266, 15139, 15782, 16407, 16818, 17887, 18506, 18914, 19310, 19508, 20094, 20287, 20670, 21059, 21443, 22404, 22794, 23182, 23379, 23972, 24562, 24756, 25139, 25703, 25890, 26267, 26644, 27039, 27427, 27627, 28016, 28220, 28614, 29003, 29196, 29387, 29766, 30331, 30518, 15, 371, 551, 735, 1287, 1880, 2107, 2319, 2736, 2955, 3383, 3595, 3807, 4011, 4216, 4643, 5275, 5483, 5915, 6123, 6331, 6544, 6759, 6967, 7176, 7399, 7623, 7835, 8491, 9560, 10211, 10423, 11103, 11331, 12275, 12504, 12951, 13175, 13604, 13823, 14487, 14707, 14923, 15354, 15567, 15991, 16199, 16607, 17035, 17247, 17467, 17679, 18091, 18299, 18707, 19111, 19703, 19899, 20479, 20864, 21251, 21635, 21823, 22015, 22207, 22599, 22987, 23575, 23771, 24167, 24367, 24947, 25327, 25515, 26076, 26455, 26842, 27231, 27819, 28415, 28807, 29575, 29955, 30142]",30518 → 15
infant,chair,59,ch_0,"[189, 397, 604, 810, 1223, 1430, 1634, 2053, 2262, 2473, 2901, 3966, 4386, 4600, 5255, 5701, 5920, 6357, 7022, 7245, 7476, 7705, 7938, 8163, 8390, 8613, 8836, 9289, 9514, 9737, 10410, 10630, 11065, 11498, 11717, 11945, 12170, 12393, 12857, 13090, 13327, 13802, 14039, 14518, 14760, 14990, 15214, 15441, 15670, 15902, 16136, 16362, 16593, 16822, 17264, 17486, 17710, 17929, 18146, 18574, 18789, 19003, 19217, 19430, 19646, 19861, 20713, 20929, 21362, 22022, 22242, 22677, 22902, 23126, 23353, 23585, 24261, 24702, 25357, 25577, 25797, 26016, 26238, 26698, 27604, 28253, 28694, 28926, 29158, 29380, 29829, 30070, 30789, 31021, 1018, 1842, 2686, 3114, 3326, 3542, 3754, 4174, 4811, 5030, 5474, 6138, 6576, 6795, 9059, 9962, 10186, 10846, 11282, 12622, 13561, 14275, 17042, 18362, 20073, 20285, 20498, 21142, 21578, 21801, 22458, 23810, 24034, 24482, 24918, 25138, 26466, 26926, 27154, 27377, 27822, 28038, 28470, 29602, 30306, 30546]",31021 → 1018
infant,chair,15,ch_0,"[191, 422, 698, 974, 1245, 1535, 1863, 2134, 2395, 2650, 2894, 3134, 3360, 3643, 3906, 4150, 4419, 4687, 4932, 5190, 5428, 5664, 5896, 6119, 6339, 6579, 6815, 7038, 7274, 7519, 7755, 7979, 8199, 8423, 8671, 8906, 9140, 9387, 9622, 9867, 10135, 10384, 10616, 10875, 11126, 11386, 11651, 12147, 12413, 12667, 12907, 13151, 13395, 13630, 13886, 14134, 11900, 14387, 14642, 14890, 15155, 15398, 15643, 15890, 16126, 16367, 16597, 17251, 17045, 17414, 16820, 17707, 17887, 18089, 18291, 18490, 18687, 18902, 19115, 19323, 19538, 19771, 20010, 20246, 20459, 20679, 20890, 21107, 21326, 21542, 21754, 21983, 22220, 22426, 22675, 22898, 23110, 23323, 23534, 23746, 23962, 24171, 24390, 24599, 24807, 25023, 25231, 25439, 25659, 25874, 26080, 26302, 26519, 26731, 26950, 27159, 27371, 27594, 27814, 28030, 28255, 28530, 28786, 29015, 29242, 29462, 29670, 29892, 30122, 30335, 30546, 30758, 30974]","14134 → 11900, 17251 → 17045, 17414 → 16820"
infant,chair,49,ch_2,"[474, 1131, 1551, 1970, 2182, 2395, 2602, 3234, 3447, 4086, 4291, 4919, 5126, 6139, 6338, 7166, 7987, 8187, 8791, 8999, 9210, 9423, 9842, 10050, 10886, 11302, 12118, 13519, 13718, 13915, 14112, 14699, 15658, 16050, 16438, 17015, 17395, 17787, 18367, 18559, 18750, 19130, 19319, 19507, 20071, 20258, 21555, 21738, 22467, 23187, 24967, 25146, 25503, 26050, 27522, 29007, 29746, 30302, 30859, 31, 251, 695, 915, 1339, 1759, 2807, 3019, 3659, 3875, 4495, 4703, 5331, 5535, 5739, 6535, 6743, 6954, 7371, 7575, 7783, 5939, 8387, 8587, 9631, 10259, 10467, 10675, 11091, 11507, 11711, 11911, 12515, 12714, 12911, 13115, 13318, 12314, 14306, 14503, 14891, 15083, 15274, 15466, 15851, 16243, 16631, 16822, 17202, 17586, 17979, 18171, 18939, 19694, 19882, 20443, 20627, 20811, 20995, 21182, 21367, 21918, 22103, 22283, 22646, 22826, 23006, 23359, 23539, 23714, 23895, 24074, 24255, 24431, 24787, 25686, 24610, 25323, 25866, 26231, 26419, 26603, 26787, 26971, 27155, 27339, 27703, 27883, 28067, 28255, 28439, 28628, 28819, 29191, 29375, 29559, 29931, 30115, 30486, 30670, 31043]","30859 → 31, 7783 → 5939, 13318 → 12314, 25686 → 24610"
infant,chair,21,ch_2,"[109, 393, 672, 960, 1236, 1501, 1768, 2024, 2287, 2537, 2789, 3044, 3301, 3561, 3824, 4084, 4345, 4845, 5092, 5333, 5581, 5828, 6072, 6309, 4596, 6541, 6780, 7017, 7245, 7476, 7705, 7932, 8164, 8395, 8628, 8909, 9080, 9304, 9525, 9744, 9949, 10169, 10385, 10602, 10817, 11029, 11240, 11453, 11664, 11877, 12092, 12301, 12513, 12725, 12933, 13145, 13361, 13580, 13800, 14020, 14236, 14460, 14685, 14909, 15129, 15349, 15572, 15793, 16013, 16237, 16456, 16673, 16892, 17108, 17328, 17548, 17764, 17980, 18196, 18413, 18628, 18844, 19061, 19272, 19484, 19692, 19905, 20117, 20325, 20533, 20744, 20960, 21172, 21385, 21604, 21821, 22041, 22260, 22480, 22701, 22917, 23131, 23344, 23557, 23770, 23983, 24198, 24416, 24625, 24837, 25052, 25265, 25477, 25693, 25905, 26124, 26337, 26553, 26768, 26981, 27193, 27413, 27633, 27853, 28073, 28292, 28520, 28749, 28984, 29229, 29484, 29729, 29965, 30196, 30429, 30666, 30905]",6309 → 4596
